artist,album,price_source,ru_price_rub,ru_n,ru_p25,ru_p75,item_kg,item_kg_source,discs,discs_source,vinyl_gram,parcel_kg_solo,cargo_usd_solo,cargo_usd_rider,ru_price_usd,cap_3x_ebay_usd,cap_3x_landed_usd,cap_3x_rider_usd,breakeven_entry_usd,discogs_release,updated
Nirvana,Nevermind,avito,3900,21,3199,4275,0.4,взвешено,1,карточки Авито (21 шт.),,1.0,22.0,9.46,45.04,15.01,-6.99,5.55,23.04,9302243,2026-09-07
Ozzy Osbourne,Bark At The Moon,ozon_x0.7,2499,1,2499,2499,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,28.87,9.62,-12.38,0.16,6.87,,2026-09-07
Ozzy Osbourne,Night Terrors,ozon_x0.7,2004,1,2004,2004,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,23.15,7.72,-14.28,-1.74,1.15,,2026-09-07
Ozzy Osbourne,No More Tears,ozon_x0.7,3879,1,3879,3879,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,44.8,14.93,-7.07,5.47,22.8,,2026-09-07
Pink Floyd,The Dark Side Of The Moon,ozon_x0.7,3604,2,3189,4020,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,41.63,13.88,-8.12,4.42,19.63,,2026-09-07
Pink Floyd,Wish You Were Here,ozon_x0.7,4147,2,4035,4260,,модель,1,карточки Авито (2 шт.),,1.0,22.0,9.46,47.9,15.97,-6.03,6.51,25.9,,2026-09-07
Queen,Greatest Hits,avito,5990,13,5050,6550,,модель,2,карточки Авито (13 шт.); Discogs говорит 1 — усредняет по изданиям,,1.1,24.2,18.26,69.18,23.06,-1.14,4.8,44.98,4887516,2026-09-07
Queen,Greatest Hits II,avito,5950,7,5366,6550,,модель,2,карточки Авито (7 шт.); Discogs говорит 1 — усредняет по изданиям,,1.1,24.2,18.26,68.72,22.91,-1.29,4.65,44.52,11023636,2026-09-07
Radiorama,Super Hits,ozon_x0.7,3201,1,3201,3201,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,36.97,12.32,-9.68,2.86,14.97,,2026-09-07
Rammstein,Sehnsucht,ozon_x0.7,4916,1,4916,4916,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,56.78,18.93,-5.27,0.67,32.58,,2026-09-07
Rammstein,Zeit,ozon_x0.7,4422,2,3980,4865,,модель,2,карточки Авито (2 шт.),,1.1,24.2,18.26,51.08,17.03,-7.17,-1.23,26.88,,2026-09-07
Red Hot Chili Peppers,Californication,ozon_x0.7,3933,1,3933,3933,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,45.43,15.14,-9.06,-3.12,21.23,,2026-09-07
Ricchi E Poveri,Made In Italy,ozon_x0.7,2814,1,2814,2814,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,32.51,10.84,-11.16,1.38,10.51,,2026-09-07
Rockets,Greatest Hits,ozon_x0.7,4286,1,4286,4286,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,49.51,16.5,-7.7,-1.76,25.31,,2026-09-07
Sade,Lovers Rock,ozon_x0.7,3567,1,3567,3567,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,41.2,13.73,-8.27,4.27,19.2,,2026-09-07
Sade,The Best Of Sade,ozon_x0.7,3584,1,3584,3584,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,41.4,13.8,-10.4,-4.46,17.2,,2026-09-07
Sandra,Close To Seven,ozon_x0.7,3182,1,3182,3182,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,36.75,12.25,-9.75,2.79,14.75,,2026-09-07
Sandra,The Very Best Of Sandra,ozon_x0.7,4327,2,4323,4331,,модель,2,карточки Авито (2 шт.),,1.1,24.2,18.26,49.98,16.66,-7.54,-1.6,25.78,,2026-09-07
Savage,Tonight,ozon_x0.7,3385,1,3385,3385,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,39.1,13.03,-8.97,3.57,17.1,,2026-09-07
Scorpions,Acoustica,ozon_x0.7,3584,1,3584,3584,,модель,2,карточки Авито (1 шт.),,1.1,24.2,18.26,41.4,13.8,-10.4,-4.46,17.2,,2026-09-07
Scorpions,Pure Instinct,ozon_x0.7,4064,1,4064,4064,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,46.94,15.65,-6.35,6.19,24.94,,2026-09-07
Silicon Dream,Time Machine,ozon_x0.7,3398,1,3398,3398,,модель,1,карточки Авито (1 шт.),,1.0,22.0,9.46,39.25,13.08,-8.92,3.62,17.25,,2026-09-07
