artist,album,price_rub,in_stock,gtin,discs,label,released,url,fetched_at
EXTREME,Pornograffitti,4100,да,0600753426562,1,Music On Vinyl,20.07.2017,https://appmistore.ru/catalog/vinilovye-plastinki/lp-362794/,2026-09-13T17:58
ALLISON BERNARD,Chills & Thrills (Silver),5900,да,0710347210214,1,Ruf,28.03.2025,https://appmistore.ru/catalog/vinilovye-plastinki/blyuz-soul-i-fank/lp-421150/,2026-09-13T17:58
ALLISON BERNARD,Luthers Blues,7400,да,0710347209010,2,Ruf,31.01.2025,https://appmistore.ru/catalog/vinilovye-plastinki/blyuz-soul-i-fank/lp-421151/,2026-09-13T17:58
B.B. KING,King Of The Blues,2100,да,5711053020819,1,Bellevue,,https://appmistore.ru/catalog/vinilovye-plastinki/blyuz-soul-i-fank/lp-376355/,2026-09-13T17:58
BIG WALTER HORTON AND CAREY BELL,Big Walter Horton With Carey Bell (DeAgostini),2100,да,4620032919079,1,DeAgostini,,https://appmistore.ru/catalog/vinilovye-plastinki/blyuz-soul-i-fank/lp-421851/,2026-09-13T17:58
BLAND BOBBY,Two Steps From The Blues (DeAgostini),2100,да,4620032919086,1,DeAgostini,,https://appmistore.ru/catalog/vinilovye-plastinki/blyuz-soul-i-fank/lp-421852/,2026-09-13T17:58
